tms_acc,x_acc,y_acc,z_acc,tms_gyr,x_gyr,y_gyr,z_gyr,tms_mag,x_mag,y_mag,z_mag,tms_ori,yaw,pitch,roll,blockID,testID,freq
20230915-14:03:04.920,0.2873042,-2.1679497,-9.642648,20230915-14:03:04.259,0.00038179077,-0.010002919,0.004581489,20230915-14:03:03.425,-5.4449997,25.7025,28.8,20230915-14:03:02.605,-0.241308,0.17164974,-3.0237691,86906,1,100
20230915-14:03:04.932,0.25857377,-2.1380222,-9.574412,20230915-14:03:04.268,-0.00022907447,-0.011835515,0.006414085,20230915-14:03:03.436,-5.4449997,25.7025,28.8,20230915-14:03:02.615,-0.2373416,0.16055684,-3.0238066,86906,1,100
20230915-14:03:04.952,0.08020575,-2.067393,-9.688137,20230915-14:03:04.279,0.0022143866,-0.010002919,0.008857546,20230915-14:03:03.446,-5.6025,25.724998,29.242498,20230915-14:03:02.625,-0.24784304,0.17575908,-3.0365674,86906,1,100
20230915-14:03:04.971,-0.08020575,-1.8710686,-9.674969,20230915-14:03:04.288,0.0046578473,-0.0075594573,0.011301007,20230915-14:03:03.465,-5.1675,25.455,27.885,20230915-14:03:02.635,-0.27444255,0.18442245,-3.052746,86906,1,100
20230915-14:03:04.980,-0.06703765,-1.6771383,-9.531317,20230915-14:03:04.299,0.0046578473,-0.0032834008,0.011911872,20230915-14:03:03.476,-5.1675,25.455,27.885,20230915-14:03:02.645,-0.27621147,0.1992282,-3.052849,86906,1,100
20230915-14:03:04.991,0.16400282,-1.5849615,-9.536105,20230915-14:03:04.320,0.000992656,-0.00022907447,0.0106901415,20230915-14:03:03.487,-4.9425,25.807499,21.93,20230915-14:03:02.655,-0.28876552,0.20289788,-3.0604744,86906,1,100
20230915-14:03:05.000,0.12689269,-1.8016368,-9.629479,20230915-14:03:04.339,0.0022143866,-0.0051159966,0.011301007,20230915-14:03:03.505,-5.25,25.71,29.0775,20230915-14:03:02.665,-0.2617663,0.15848035,-3.0404534,86906,1,100
20230915-14:03:05.011,0.20590134,-1.8686744,-9.82341,20230915-14:03:04.348,0.0016035213,-0.006948592,0.0125227375,20230915-14:03:03.516,-5.25,25.71,29.0775,20230915-14:03:02.676,-0.2754343,0.14091367,-3.06445,86906,1,100
20230915-14:03:05.020,0.074220255,-2.135628,-9.952697,20230915-14:03:04.359,0.000992656,-0.006948592,0.011911872,20230915-14:03:03.526,-5.3775,25.4625,29.91,20230915-14:03:02.686,-0.21685463,0.12669429,-3.0605159,86906,1,100
20230915-14:03:05.032,-0.1364695,-2.4947581,-10.0664215,20230915-14:03:04.379,0.000992656,-0.0020616702,0.011911872,20230915-14:03:03.536,-5.3775,25.4625,29.91,20230915-14:03:02.697,-0.2286299,0.12502325,-3.069947,86906,1,100
